years,Albania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,EU_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Austria_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Belgium_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Bulgaria_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Cyprus_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Czechia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Germany_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Denmark_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Estonia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Greece_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Spain_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Finland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,France_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Croatia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Hungary_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Ireland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Iceland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Italy_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Liechtenstein_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Lithuania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Luxembourg_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Latvia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Montenegro_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,North Macedonia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Malta_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Netherlands_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Norway_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Poland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Portugal_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Romania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Serbia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Sweden_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Slovenia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Slovakia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Turkiye_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Bosnia and Herzegovina_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Switzerland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent
1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991,149.4060986312,97.8350083882,104.6116611312,101.8998441914,81.816460721,109.0138106494,91.0595988112,96.3406281589,114.850886823,92.8629781488,100.0198421141,102.7566159273,96.9610090936,104.6352810673,79.306731036,93.4558332356,101.3749780657,94.4987090502,100.2404631244,103.3000839313,104.1104332636,104.8927432119,92.7411304237,110.1605204082,98.2267762626,94.4261450436,103.5384301419,95.4020099705,97.400127261,102.8616653772,81.8877795788,87.506218445,100.190205737,92.7876780424,87.3011308525,103.292186223,90.4629049489,103.3229813391
1992,105.5198162902,94.7094959723,96.3609117058,101.5032848634,76.2268134654,116.8342668247,88.1068765216,92.388763357,106.6264765492,67.5849853663,101.2517055047,105.98717678,94.9042030133,102.6797005134,73.3180914237,82.9373950778,101.3660407781,92.8279460142,100.0920259711,103.3643642894,64.0604827956,103.0628714953,74.4276326224,80.8641898038,97.2659503357,95.6841826805,103.6990375978,92.4088370897,94.7024812119,109.7551838783,75.8101303247,82.2817969168,99.7460956543,92.7006531505,79.1673360062,106.0883612525,31.039238339,102.842482033
1993,105.674596868,93.0688081943,96.8268998466,100.6243710532,75.5362732952,121.9552026582,84.973177689,91.6576025402,109.9352905451,54.0219390409,100.8096655771,102.4212343992,97.9340358794,98.7321824036,73.2762097349,83.4565764185,102.1906727472,95.1241156751,98.7858452333,106.4599315307,51.1596478386,104.3351364098,61.1573209534,57.5628604094,99.3565864651,118.6271025754,103.8067086238,96.1656758307,94.6002961789,107.1228086821,71.6899521848,71.9634224565,100.0553010771,93.9650014541,74.3307220229,109.293567709,11.777787765,98.173324855
1994,113.0073267413,92.6105139887,97.0898583787,103.8160668008,71.4021755819,126.5158153687,80.5175471305,90.1987153813,115.3107442673,55.1991614936,103.3388935654,108.0384417577,105.7339306994,97.1944538883,70.3723432672,82.9514211273,104.5565962985,93.3606178864,97.6579088015,100.4738216396,48.2702565651,97.7148247364,53.6852893167,47.3201395322,96.712905914,110.1844566622,104.0977966521,99.9676032347,93.4111822572,108.761178208,70.6825485837,66.6328524381,103.5756191773,96.0963123992,70.865615823,106.5022142838,13.1412789934,96.2021681194
1995,112.4867849172,93.6552709119,101.191730778,105.2696513474,72.9775690481,124.9499148803,80.2949978693,89.6433221909,111.2873747776,49.8280375509,105.3814461636,113.630433846,100.6431412768,98.2557572065,72.4905152899,81.6878025097,107.0695993699,96.8659537761,102.7113046604,102.1001596435,46.1115471666,79.1303656484,48.4302145441,40.1757921705,95.8944110671,102.4560777217,104.1035897795,100.7652764478,93.7357739696,116.8170317352,73.3780626906,75.485375768,102.7132446792,100.2183098162,71.5751157835,112.5214963956,13.0935753062,97.8140413463
1996,115.1314137778,95.5136946638,105.1936642718,107.712094784,73.4209832412,131.5998096663,81.9192959354,91.0275406877,129.3511632146,52.1703817327,108.2999077019,110.7125380134,108.8323652469,101.5816831723,74.0442518827,84.0583913218,110.7854385866,98.3904936898,101.7072181145,103.0948783638,48.1473148791,79.6194647612,48.614284355,73.3735155931,105.5470526366,105.9096036445,108.7183643944,106.4141369162,96.580948287,113.0252885873,74.5635557479,84.6018351498,108.1835008739,103.3294248139,71.3688355257,121.0045897093,21.7062351715,98.8661716283
1997,117.630244862,94.0390971446,104.7209348201,101.894647035,70.1771486585,133.2506282307,79.5408251586,88.1695288052,116.1014545249,51.4215721551,112.968848586,115.586897932,106.9797170175,100.1473917587,78.4223135272,82.5638739565,113.1576963935,102.6969143442,103.1774741114,108.5580371067,47.2109710684,74.6060439892,46.4684691352,82.0815495414,96.7880317639,107.1107305476,104.9310761701,106.3682595131,94.4338594187,118.5731505861,72.0061256333,91.5136998795,101.3230183896,106.1989812927,71.0678495,125.7774936368,30.0896000968,96.6908007747
1998,134.2967963645,93.2214677434,103.8698478739,105.5130253318,66.1067018042,138.8755024978,76.5235762841,86.1684096768,110.6502278254,47.1278775707,118.2804753874,118.9111201092,101.8065597504,102.6976326585,78.8546616954,82.035609264,117.5921671473,106.7098098155,105.6156501565,113.3309405799,49.1069796861,67.5987766016,44.5195591746,83.5845246142,106.4017460223,106.1272995603,105.0210477138,106.5146048649,87.9317263391,126.9043245187,65.3677518923,90.6611019264,101.8584886851,104.0142792301,70.0621248101,126.3901998719,41.7834364221,99.4572060024
1999,145.1862549319,91.6668120358,101.9341249895,101.101442245,59.0090534077,143.8055228915,71.3637701084,83.4536945268,106.8789981101,44.2224857038,118.2729515805,128.0209919338,100.8617882791,101.7890536418,83.0307279944,82.3668139568,119.7274228607,112.5520992364,106.7220168398,111.9929816669,43.1777634129,71.26688412,41.5023470669,88.2213404101,102.0412758724,108.3054162535,99.4262365113,108.4685592363,85.4521493651,140.8067287106,58.3938506157,67.9057313742,97.4265230664,100.7296805987,68.3986336211,125.2850656268,42.8819136933,99.0624169363
2000,133.0184902905,91.4281196606,102.2199198738,101.9160063847,58.1359587094,148.6961155921,76.4014065382,83.2281406968,100.8863593575,43.2905426839,121.8057467588,133.2421475869,98.1188713051,100.8306315599,81.8322850525,79.3879040411,123.5416796572,113.328449339,107.4631550912,107.877830624,39.8312592489,75.8064816415,39.1090141857,93.3058775422,98.9909194041,104.6804799606,98.678213194,107.2891767597,82.6418756668,139.3759228927,55.2693385332,73.0349564412,95.6862334701,99.5518855781,65.7846747908,134.3809602053,44.794114822,97.8667966784
2001,148.6723115512,92.4297150087,107.105047969,100.8281329507,61.0651184341,147.5603681615,76.5166925735,84.3846748277,103.0425786406,44.3730941866,122.8362112755,132.7713901186,105.5603487762,101.7740294357,85.5712854048,81.3281778919,127.1174974922,110.5994096049,107.860929078,107.7328033597,41.4944022053,79.7418129576,41.3835823039,86.8525148336,97.688868551,115.1980672239,99.2463029371,109.7252479706,82.3192115655,138.8279918673,56.740890058,75.8945495778,96.745829892,106.2644510842,68.8740615207,126.1347028414,47.3466733287,100.6043524416
