year,country,emissions_index
1990,EU,100.0
1991,EU,97.8350083882
1992,EU,94.7094959723
1993,EU,93.0688081943
1994,EU,92.6105139887
1995,EU,93.6552709119
1996,EU,95.5136946638
1997,EU,94.0390971446
1998,EU,93.2214677434
1999,EU,91.6668120358
2000,EU,91.4281196606
2001,EU,92.4297150087
2002,EU,92.1346843984
2003,EU,93.6659006149
2004,EU,93.6370182872
2005,EU,93.297708788
2006,EU,93.36955008
2007,EU,92.3534373565
2008,EU,90.5638483078
2009,EU,84.0573483025
2010,EU,85.7172469297
2011,EU,83.4653042995
2012,EU,82.0118147091
2013,EU,80.1771338251
2014,EU,77.2594651763
2015,EU,78.2631598075
2016,EU,78.1941100148
2017,EU,78.6269724558
2018,EU,76.9590643253
2019,EU,73.6331073275
2020,EU,67.6613439311
2021,EU,71.1036510738
2022,EU,69.2756373513
2023,EU,63.7368900721
1990,France,100.0
1991,France,104.6352810673
1992,France,102.6797005134
1993,France,98.7321824036
1994,France,97.1944538883
1995,France,98.2557572065
1996,France,101.5816831723
1997,France,100.1473917587
1998,France,102.6976326585
1999,France,101.7890536418
2000,France,100.8306315599
2001,France,101.7740294357
2002,France,100.6436555157
2003,France,101.3928331628
2004,France,101.3058585136
2005,France,101.5647518781
2006,France,99.6211891452
2007,France,97.8215527229
2008,France,96.9339693702
2009,France,93.1062636526
2010,France,93.8112659596
2011,France,89.3022804029
2012,France,89.7601928434
2013,France,89.5980303223
2014,France,83.5711631069
2015,France,84.1789525505
2016,France,84.6253661833
2017,France,85.0853337631
2018,France,81.5549534312
2019,France,79.7810554647
2020,France,72.465172015
2021,France,76.7977556075
2022,France,73.8134493452
2023,France,68.8647931753
1990,Italy,100.0
1991,Italy,100.2404631244
1992,Italy,100.0920259711
1993,Italy,98.7858452333
1994,Italy,97.6579088015
1995,Italy,102.7113046604
1996,Italy,101.7072181145
1997,Italy,103.1774741114
1998,Italy,105.6156501565
1999,Italy,106.7220168398
2000,Italy,107.4631550912
2001,Italy,107.860929078
2002,Italy,109.0783727619
2003,Italy,112.7996110473
2004,Italy,113.8500407048
2005,Italy,114.0161829941
2006,Italy,112.0041915972
2007,Italy,110.9303750042
2008,Italy,108.434524099
2009,Italy,97.8506654596
2010,Italy,100.0210927595
2011,Italy,97.489956822
2012,Italy,93.7642920785
2013,Italy,86.8745725092
2014,Italy,82.7997257165
2015,Italy,84.8183064592
2016,Italy,84.1648726925
2017,Italy,82.8659667926
2018,Italy,82.0907403926
2019,Italy,79.8348571441
2020,Italy,72.6811348549
2021,Italy,78.8383289374
2022,Italy,78.9867019264
2023,Italy,73.5951730436
1990,Switzerland,100.0
1991,Switzerland,103.3229813391
1992,Switzerland,102.842482033
1993,Switzerland,98.173324855
1994,Switzerland,96.2021681194
1995,Switzerland,97.8140413463
1996,Switzerland,98.8661716283
1997,Switzerland,96.6908007747
1998,Switzerland,99.4572060024
1999,Switzerland,99.0624169363
2000,Switzerland,97.8667966784
2001,Switzerland,100.6043524416
2002,Switzerland,97.7563888013
2003,Switzerland,99.6263769146
2004,Switzerland,100.6893849668
2005,Switzerland,101.916324689
2006,Switzerland,101.2288934275
2007,Switzerland,97.7805657921
2008,Switzerland,100.2609117914
2009,Switzerland,97.5818058016
2010,Switzerland,100.476430288
2011,Switzerland,92.9623662235
2012,Switzerland,95.4621006064
2013,Switzerland,96.9538432371
2014,Switzerland,89.8102553495
2015,Switzerland,88.8822632685
2016,Switzerland,89.5255079595
2017,Switzerland,87.9052609991
2018,Switzerland,85.0959715641
2019,Switzerland,84.6552511554
2020,Switzerland,79.9001821857
2021,Switzerland,82.2811214682
2022,Switzerland,75.8359048914
2023,Switzerland,73.9392479905
