year,glacier_name,country,net_mass_balance
1966,Austre Broeggerbreen,"Svalbard, Norway",0.0
1967,Austre Broeggerbreen,"Svalbard, Norway",-650.0
1968,Austre Broeggerbreen,"Svalbard, Norway",-750.0
1969,Austre Broeggerbreen,"Svalbard, Norway",-1680.0
1970,Austre Broeggerbreen,"Svalbard, Norway",-2220.0
1971,Austre Broeggerbreen,"Svalbard, Norway",-2800.0
1972,Austre Broeggerbreen,"Svalbard, Norway",-3110.0
1973,Austre Broeggerbreen,"Svalbard, Norway",-3190.0
1974,Austre Broeggerbreen,"Svalbard, Norway",-4110.0
1975,Austre Broeggerbreen,"Svalbard, Norway",-4420.0
1976,Austre Broeggerbreen,"Svalbard, Norway",-4870.0
1977,Austre Broeggerbreen,"Svalbard, Norway",-4980.0
1978,Austre Broeggerbreen,"Svalbard, Norway",-5540.0
1979,Austre Broeggerbreen,"Svalbard, Norway",-6250.0
1980,Austre Broeggerbreen,"Svalbard, Norway",-6770.0
1981,Austre Broeggerbreen,"Svalbard, Norway",-7320.0
1982,Austre Broeggerbreen,"Svalbard, Norway",-7360.0
1983,Austre Broeggerbreen,"Svalbard, Norway",-7630.0
1984,Austre Broeggerbreen,"Svalbard, Norway",-8360.0
1985,Austre Broeggerbreen,"Svalbard, Norway",-8910.0
1986,Austre Broeggerbreen,"Svalbard, Norway",-9230.0
1987,Austre Broeggerbreen,"Svalbard, Norway",-9010.0
1988,Austre Broeggerbreen,"Svalbard, Norway",-9530.0
1989,Austre Broeggerbreen,"Svalbard, Norway",-9980.0
1990,Austre Broeggerbreen,"Svalbard, Norway",-10640.0
1991,Austre Broeggerbreen,"Svalbard, Norway",-10510.0
1992,Austre Broeggerbreen,"Svalbard, Norway",-10610.0
1993,Austre Broeggerbreen,"Svalbard, Norway",-11640.0
1994,Austre Broeggerbreen,"Svalbard, Norway",-11800.0
1995,Austre Broeggerbreen,"Svalbard, Norway",-12580.0
1996,Austre Broeggerbreen,"Svalbard, Norway",-12750.0
